name,address,city,lat,long,company,connector,power_supply,charging_speed,,
סנטרל פארק - חניון הירקון תל אביב,הירקון 78,תל אביב-יפו,32.076833,34.76706,EV-Edge,type 2,22.08,איטי,,
ריט 1 | המלאכה 13 | למורשי כניסה לחניון בלבד,המלאכה 13,ראש העין,32.10915616,34.96825999,EV-Edge,type 2,22.08,איטי,,
אחוזות החוף - הכרמל 2,סמטת הכרמל 12,תל אביב יפו,32.068642,34.765644,EV-Edge,type 2,22.08,איטי,,
תחנת דלק הברוש רעננה,כביש 4 לכיוון צפון 250 מטרים 1,צפונית לצומת רעננה,32.180069,34.889551,EV-Edge,combo,180,מהיר,,
מ.א. דרום השרון - שיטור עירוני מתן,הדר 84,מתן,32.158779,34.973621,EV-Edge,type 2,22.08,איטי,,
סנטרל פארק - חניון אפעל 23 פתח תקווה,אפעל 23,פתח תקווה,32.094902,34.847042,EV-Edge,type 2,22.08,איטי,,
ריט 1 | הנחושת 6 | למורשי כניסה לחניון בלבד,הנחושת 6,תל אביב-יפו,32.10977438,34.83857424,EV-Edge,type 2,22.08,איטי,,
"ביהס נגבה - מועצה אזורית יואב""",נגבה 1,מועצה אזורית יואב,31.658169,34.684525,EV-Edge,type 2,22.08,איטי,,
קרן קיימת לישראל פינת העצמאות - מבשרת ציון,קרן קיימת לישראל פינת העצמאות 1,מבשרת ציון,31.794075,35.144592,EV-Edge,type 2,22.08,איטי,,
גליל עליון |מועצה אזורית | חניון המועצה,1 1,מועצה אזורית גליל עליון,33.1944774,35.5685796,EV-Edge,combo,105,מהיר,,
אור יהודה| אליהו סעדון 91 | חניון הבריכה,אליהו סעדון 91,אור יהודה,32.025765,34.854523,EV-Edge,type 2,22.08,איטי,,
אור יהודה| אליהו סעדון 91 | חניון הבריכה,אליהו סעדון 91,אור יהודה,32.025765,34.854523,EV-Edge,type 2,22.08,איטי,,
אור יהודה| אליהו סעדון 91 | חניון הבריכה,אליהו סעדון 91,אור יהודה,32.025765,34.854523,EV-Edge,type 2,22.08,איטי,,
"ירדן ב.ש.י.י. נדלן והשקעות בע""מ | מתחם שוק איכרים | צומת יסוד המעלה""",צומת כביש 90 יסוד המעלה 1,יסוד המעלה,33.04571331,35.57334828,EV-Edge,type 2,22.08,איטי,,
"ירדן ב.ש.י.י. נדלן והשקעות בע""מ | מתחם שוק איכרים | צומת יסוד המעלה""",צומת כביש 90 יסוד המעלה 1,יסוד המעלה,33.04571331,35.57334828,EV-Edge,type 2,22.08,איטי,,
"ירדן ב.ש.י.י. נדלן והשקעות בע""מ | מתחם שוק איכרים | צומת יסוד המעלה""",צומת כביש 90 יסוד המעלה 1,יסוד המעלה,33.04571331,35.57334828,EV-Edge,type 2,22.08,איטי,,
תחנת דלק אברך סונול - שדה אליעזר,צומת כביש 90 שדה אליעזר 1,שדה אליעזר,33.046194,35.570854,EV-Edge,combo,100,מהיר,,
